schema,schema_id,capacity,wide,owner,gap,processes,median_ns,minimum_ns,maximum_ns,extra_bytes,layout_identity,effective_median_ns
SpacingDoubles,1,75008,1,0,192,3,6182868.0,6180178.0,6184980.0,4416,2683b9e0044a7bc4263486a0e906f67cb0288607fc269d1ec7e3203ad11dba2e,6182868.0
SpacingDoubles,1,131072,0,0,0,3,1598528.0,1591560.0,2730271.0,0,e7e9c7a70ea87fa46966e3ea2d5a377aef59ded056c2d1680f9e7b1789b85f83,1598528.0
SpacingDoubles,1,131072,0,0,64,3,1581157.0,1549498.0,2456726.0,1472,1569ab2d3b48146c369d079a5bff2da4b14c5fa58a23982090fcfbac61cdd136,1581157.0
SpacingDoubles,1,131072,0,0,192,3,1575852.0,1552513.0,1582676.0,4416,b17213b9a0ed544c9182353ab0bf2efe81ddc9a649b51b66324b83a7cbba9d76,1575852.0
SpacingDoubles,1,131072,1,0,0,3,11400780.0,11355891.0,11402027.0,0,e7e9c7a70ea87fa46966e3ea2d5a377aef59ded056c2d1680f9e7b1789b85f83,11400780.0
SpacingDoubles,1,131072,1,0,64,3,6084792.0,6077046.0,6200347.0,1472,1569ab2d3b48146c369d079a5bff2da4b14c5fa58a23982090fcfbac61cdd136,6084792.0
SpacingDoubles,1,131072,1,0,192,3,6187212.0,6177914.0,7266308.0,4416,b17213b9a0ed544c9182353ab0bf2efe81ddc9a649b51b66324b83a7cbba9d76,6187212.0
SpacingMixedWidths,2,65536,0,0,0,3,2869550.0,2789055.0,2878890.0,0,823fc9c67bc9802bfa9bf7ac0e3e495da693525001742f7590fe9e8b37f3d502,2869550.0
SpacingMixedWidths,2,65536,0,0,64,3,2819244.0,2818799.0,2885579.0,2624,f15f240ae3f5dad2e8c609539477d3440b580229ec9847a27f83b285d1f47522,2819244.0
SpacingMixedWidths,2,65536,0,0,192,3,2839198.0,2814904.0,2866982.0,7872,bc058495a7bec66734ee3446e056ecffdec75def6fec55e66c1890491df2e6b0,2839198.0
SpacingMixedWidths,2,65536,1,0,0,3,19546045.0,19529097.0,19547723.0,0,823fc9c67bc9802bfa9bf7ac0e3e495da693525001742f7590fe9e8b37f3d502,19546045.0
SpacingMixedWidths,2,65536,1,0,64,3,19062238.0,18718050.0,19079247.0,2624,f15f240ae3f5dad2e8c609539477d3440b580229ec9847a27f83b285d1f47522,19062238.0
SpacingMixedWidths,2,65536,1,0,192,3,19055272.0,19049896.0,19123941.0,7872,bc058495a7bec66734ee3446e056ecffdec75def6fec55e66c1890491df2e6b0,19055272.0
SpacingMixedWidths,2,75008,0,0,0,3,2857410.0,2832737.0,2869794.0,0,08d0c4171860c9ab0b31f49d80c8db6778a09e5530670d44739d8d64041a3ba9,2857410.0
SpacingMixedWidths,2,75008,0,0,64,3,2873010.0,2776343.0,2875473.0,2624,05dd539351809feeff659f1528354aa929f17975b0bbe540f8207e118a795b03,2873010.0
SpacingMixedWidths,2,75008,0,0,192,3,2871693.0,2860360.0,2880487.0,7872,d27bcf064d3259430b9c898e10c1706e1061b1e2d83ce3b828bac4ed72e97563,2871693.0
SpacingMixedWidths,2,75008,1,0,0,3,19089131.0,19085641.0,19096291.0,0,08d0c4171860c9ab0b31f49d80c8db6778a09e5530670d44739d8d64041a3ba9,19089131.0
SpacingMixedWidths,2,75008,1,0,64,3,19070813.0,18728625.0,19112727.0,2624,05dd539351809feeff659f1528354aa929f17975b0bbe540f8207e118a795b03,19070813.0
SpacingMixedWidths,2,75008,1,0,192,3,19098248.0,18741569.0,19134722.0,7872,d27bcf064d3259430b9c898e10c1706e1061b1e2d83ce3b828bac4ed72e97563,19098248.0
SpacingMixedWidths,2,131072,0,0,0,3,2863597.0,2823150.0,2885294.0,0,ebfe0a453dfbe601c633cbb71f1134e98ae00494a7a79bb3cb7901969cf600ce,2863597.0
SpacingMixedWidths,2,131072,0,0,64,3,2864618.0,2864000.0,2865950.0,2624,e2f251cca1b44ec0fb84704536321919fef894fe7885d34a8154e0c5eeaa6353,2864618.0
SpacingMixedWidths,2,131072,0,0,192,3,2864974.0,2828385.0,2866845.0,7872,33ff3b7b3dce6c63644c060e613be345b998af756ff567a0592129b683d7a115,2864974.0
SpacingMixedWidths,2,131072,1,0,0,3,19320748.0,19149998.0,19680692.0,0,ebfe0a453dfbe601c633cbb71f1134e98ae00494a7a79bb3cb7901969cf600ce,19320748.0
SpacingMixedWidths,2,131072,1,0,64,3,19080654.0,18685563.0,19100029.0,2624,e2f251cca1b44ec0fb84704536321919fef894fe7885d34a8154e0c5eeaa6353,19080654.0
SpacingMixedWidths,2,131072,1,0,192,3,19103003.0,19034754.0,19126100.0,7872,33ff3b7b3dce6c63644c060e613be345b998af756ff567a0592129b683d7a115,19103003.0
SpacingAligned,3,65536,0,0,0,3,2052277.0,1931283.0,2058420.0,0,338c71335dd48adf8238e47637756c26155e914fb6a986154db9c4ca1fa411c3,2052277.0
SpacingAligned,3,65536,0,0,64,3,1879576.0,1832207.0,1944523.0,1280,1bf4cb7877d15faad8cf81231a3b2b57257d083cebe8404e5d61c398eaded44a,1879576.0
SpacingAligned,3,65536,0,0,192,3,1935220.0,1897983.0,1944700.0,2816,0a99ec47e2daa1a3900cf8199331623ddfcce64a5ef985d6ed513e4b4c2da9b0,1935220.0
SpacingAligned,3,65536,1,0,0,3,5679420.0,5568043.0,6446823.0,0,338c71335dd48adf8238e47637756c26155e914fb6a986154db9c4ca1fa411c3,5679420.0
SpacingAligned,3,65536,1,0,64,3,5687456.0,5592094.0,5744842.0,1280,1bf4cb7877d15faad8cf81231a3b2b57257d083cebe8404e5d61c398eaded44a,5687456.0
SpacingAligned,3,65536,1,0,192,3,5710637.0,5593076.0,5945521.0,2816,0a99ec47e2daa1a3900cf8199331623ddfcce64a5ef985d6ed513e4b4c2da9b0,5710637.0
SpacingAligned,3,75008,0,0,0,3,1928922.0,1895665.0,2087498.0,0,866dedef4a8dfe2ed904bd3317c79496da8a29b4c9f81ca92e78c95dd73b8622,1928922.0
SpacingAligned,3,75008,0,0,64,3,1926701.0,1920483.0,2099880.0,1280,3db1ebee56aeb8d7ed0a4a13d289bc3f5ceed6c1824c0655dbf6000822bced39,1926701.0
SpacingAligned,3,75008,0,0,192,3,1957777.0,1923969.0,2089644.0,2816,545f9e8359bc0a079c02df71d5feff2d453b610a6eec87ea3c3c6611c145cfaf,1957777.0
SpacingAligned,3,75008,1,0,0,3,5714071.0,5600836.0,6115409.0,0,866dedef4a8dfe2ed904bd3317c79496da8a29b4c9f81ca92e78c95dd73b8622,5714071.0
SpacingAligned,3,75008,1,0,64,3,5677255.0,5612568.0,5716036.0,1280,3db1ebee56aeb8d7ed0a4a13d289bc3f5ceed6c1824c0655dbf6000822bced39,5677255.0
SpacingAligned,3,75008,1,0,192,3,5675175.0,5651896.0,5685296.0,2816,545f9e8359bc0a079c02df71d5feff2d453b610a6eec87ea3c3c6611c145cfaf,5675175.0
SpacingAligned,3,131072,0,0,0,3,1930885.0,1928854.0,2085371.0,0,32372e5044f7e72d3b5235ce8728f8ec0e8916a68d79f5a9067919e4720a9fd5,1930885.0
SpacingAligned,3,131072,0,0,64,3,2677627.0,1924765.0,3239929.0,1280,a9738a9547b60d1e94396fc01e7fe231dc85fbf8b6ddf37343fb9e5b8d069d44,2677627.0
SpacingAligned,3,131072,0,0,192,3,1931191.0,1925854.0,2084692.0,2816,a087e2f07a100609091ee83ed2155be5ee9c5e1818487c8c303824fd1fa9236e,1931191.0
SpacingAligned,3,131072,1,0,0,3,5698168.0,5666457.0,6721883.0,0,32372e5044f7e72d3b5235ce8728f8ec0e8916a68d79f5a9067919e4720a9fd5,5698168.0
SpacingAligned,3,131072,1,0,64,3,5681322.0,5567917.0,6059904.0,1280,a9738a9547b60d1e94396fc01e7fe231dc85fbf8b6ddf37343fb9e5b8d069d44,5681322.0
SpacingAligned,3,131072,1,0,192,3,5992519.0,5576691.0,6057974.0,2816,a087e2f07a100609091ee83ed2155be5ee9c5e1818487c8c303824fd1fa9236e,5992519.0
